date_created,time_created,keyword,count
Nov 18 2018,03:00:00-03:59:59,do,1
Nov 18 2018,04:00:00-04:59:59,a,1
Nov 18 2018,04:00:00-04:59:59,and,1
Nov 18 2018,04:00:00-04:59:59,made,1
Nov 18 2018,04:00:00-04:59:59,perfectly,1
Nov 18 2018,04:00:00-04:59:59,figure,1
Nov 18 2018,04:00:00-04:59:59,just,1
Nov 18 2018,04:00:00-04:59:59,'trump',1
Nov 18 2018,04:00:00-04:59:59,big,1
Nov 18 2018,04:00:00-04:59:59,government,1
Nov 18 2018,04:00:00-04:59:59,people,1
Nov 18 2018,05:00:00-05:59:59,know,2
Nov 18 2018,05:00:00-05:59:59,during,2
Nov 18 2018,05:00:00-05:59:59,rucka,2
Nov 18 2018,05:00:00-05:59:59,'trump',2
Nov 18 2018,05:00:00-05:59:59,millions,1
Nov 18 2018,05:00:00-05:59:59,all,1
Nov 18 2018,05:00:00-05:59:59,says,1
Nov 18 2018,05:00:00-05:59:59,disaster,1
Nov 18 2018,05:00:00-05:59:59,ali,1
Nov 18 2018,05:00:00-05:59:59,is,1
Nov 18 2018,07:00:00-07:59:59,'trunt',1
Nov 18 2018,07:00:00-07:59:59,and,1
Nov 18 2018,07:00:00-07:59:59,is,1
Nov 18 2018,07:00:00-07:59:59,fit,1
Nov 18 2018,07:00:00-07:59:59,civilized,1
Nov 18 2018,07:00:00-07:59:59,@truefactsstated,1
Nov 18 2018,07:00:00-07:59:59,tables,,1
Nov 18 2018,07:00:00-07:59:59,now,,1
Nov 18 2018,07:00:00-07:59:59,@maggyandoscar,1
Nov 18 2018,07:00:00-07:59:59,it's,1
Nov 18 2018,13:00:00-13:59:59,doing,1
Nov 18 2018,13:00:00-13:59:59,some,1
Nov 18 2018,13:00:00-13:59:59,back,1
Nov 18 2018,13:00:00-13:59:59,single-handedly,1
Nov 18 2018,13:00:00-13:59:59,candidate,1
Nov 18 2018,13:00:00-13:59:59,hopeful,1
Nov 18 2018,13:00:00-13:59:59,mcconnell,1
Nov 18 2018,13:00:00-13:59:59,for,1
Nov 18 2018,13:00:00-13:59:59,anyone,1
Nov 18 2018,13:00:00-13:59:59,to,1
Nov 18 2018,15:00:00-15:59:59,come,3
Nov 18 2018,15:00:00-15:59:59,@dionrabouin,3
Nov 18 2018,15:00:00-15:59:59,world's,3
Nov 18 2018,15:00:00-15:59:59,next,3
Nov 18 2018,15:00:00-15:59:59,https://tco/4t0tqjscot,3
Nov 18 2018,15:00:00-15:59:59,here's,3
Nov 18 2018,15:00:00-15:59:59,'trump',3
Nov 18 2018,15:00:00-15:59:59,https://tco/m45ebowm1g,3
Nov 18 2018,15:00:00-15:59:59,really,2
Nov 18 2018,15:00:00-15:59:59,&amp;,2
Nov 18 2018,16:00:00-16:59:59,abc,2
Nov 18 2018,16:00:00-16:59:59,-,2
Nov 18 2018,16:00:00-16:59:59,news,2
Nov 18 2018,16:00:00-16:59:59,threats,1
Nov 18 2018,16:00:00-16:59:59,17,1
Nov 18 2018,16:00:00-16:59:59,'trump',1
Nov 18 2018,16:00:00-16:59:59,https://tco/ucathqltzo,1
Nov 18 2018,16:00:00-16:59:59,or,1
Nov 18 2018,16:00:00-16:59:59,violence,,1
Nov 18 2018,16:00:00-16:59:59,alleged,1
Nov 18 2018,17:00:00-17:59:59,&amp;,3
